pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,candidate1_4,candidate1_5,office2,candidate2_1,candidate2_2,candidate2_3,candidate2_4,candidate2_5,office3,candidate3_1,candidate3_2,candidate3_3,candidate3_4,candidate3_5,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2
CATAWBA-20181106-Style043-SPRINGS-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/CATAWBA-20181106-Style043-SPRINGS-GEN.pdf,NC Superior Court Judge District 25B Seat 1,Nathaniel (Nathan) J. Poovey,,,,,NC District Court Judge District 25 Seat 1,David W. Aycock,,,,,NC District Court Judge District 25 Seat 2,Wes W. Barkley,,,,,NC District Court Judge District 25 Seat 3,Sherri Wilson Elliott,,NC District Court Judge District 25 Seat 4,"Robert A. Mullinax, Jr.",,NC District Court Judge District 25 Seat 5,Amy Sigmon Walker,Scott M. Cranford,NC District Court Judge District 25 Seat 6,Clifton H. Smith,,NC District Court Judge District 25 Seat 7,Mark L. Killian,,,,
MECKLENBURG-20181106-Style049-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/MECKLENBURG-20181106-Style049-GEN.pdf,NC Superior Court Judge District 26F Seat 1,Karen Eady-Williams,,,,,NC District Court Judge District 26F Seat 1,Tracy Hanna Hewett,,,,,NC District Court Judge District 26F Seat 2,Karen D. McCallum,Khalif Rhodes,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20181106-Style059-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/MECKLENBURG-20181106-Style059-GEN.pdf,NC District Court Judge District 26B Seat 1,Matt Osman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20181106-Style035-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/CUMBERLAND-20181106-Style035-GEN.pdf,NC Superior Court Judge District 12C Seat 1,"James (Jim) Floyd Ammons, Jr.",,,,,NC Superior Court Judge District 12C Seat 2,Mary Ann Tally,,,,,NC District Court Judge District 12 Seat 1,Toni S. King,,,,,NC District Court Judge District 12 Seat 2,Robert J. Stiehl III,,NC District Court Judge District 12 Seat 3,David H. Hasty,,NC District Court Judge District 12 Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 Seat 5,Cheri Siler-Mack,,NC District Court Judge District 12 Seat 6,April Smith,,NC District Court Judge District 12 Seat 7,Tal Baggett,Caitlin Evans
NEW_HANOVER-20181106-Style002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/NEW_HANOVER-20181106-Style002-GEN.pdf,NC District Court Judge District 5 Seat 1,Lindsey L. McKee,,,,,NC District Court Judge District 5 Seat 2,James H. Faison III,,,,,NC District Court Judge District 5 Seat 3,Melinda H. Crouch,,,,,NC District Court Judge District 5 Seat 4,Chad E. Hogston,,,,,,,,,,,,,,,,
CUMBERLAND-20181106-Style025-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/CUMBERLAND-20181106-Style025-GEN.pdf,NC District Court Judge District 12 Seat 1,Toni S. King,,,,,NC District Court Judge District 12 Seat 2,Robert J. Stiehl III,,,,,NC District Court Judge District 12 Seat 3,David H. Hasty,,,,,NC District Court Judge District 12 Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 Seat 5,Cheri Siler-Mack,,NC District Court Judge District 12 Seat 6,April Smith,,NC District Court Judge District 12 Seat 7,Tal Baggett,Caitlin Evans,,,,,,
CALDWELL-20181106-Style001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/CALDWELL-20181106-Style001-GEN.pdf,NC Superior Court Judge District 25A Seat 1,Robert C. (Bob) Ervin,,,,,NC District Court Judge District 25 Seat 1,David W. Aycock,,,,,NC District Court Judge District 25 Seat 2,Wes W. Barkley,,,,,NC District Court Judge District 25 Seat 3,Sherri Wilson Elliott,,NC District Court Judge District 25 Seat 4,"Robert A. Mullinax, Jr.",,NC District Court Judge District 25 Seat 5,Amy Sigmon Walker,Scott M. Cranford,NC District Court Judge District 25 Seat 6,Clifton H. Smith,,NC District Court Judge District 25 Seat 7,Mark L. Killian,,,,
BLADEN-20181106-Style004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/BLADEN-20181106-Style004-GEN.pdf,NC District Court Judge District 13 Seat 1,W. Fred Gore,,,,,NC District Court Judge District 13 Seat 2,William F. Fairley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION-20181106-Style007-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/UNION-20181106-Style007-GEN.pdf,NC Superior Court Judge District 20B Seat 1,Chris Bragg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDE-20181106-Style004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/HYDE-20181106-Style004-GEN.pdf,NC Superior Court Judge District 2 Seat 1,"Wayland J. Sermons, Jr.",,,,,NC District Court Judge District 2 Seat 1,Sarah A. Homes,"Darrell B. Cayton, Jr.",,,,NC District Court Judge District 2 Seat 2,Regina R. Parker,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20181106-Style042-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/GUILFORD-20181106-Style042-GEN.pdf,NC Superior Court Judge District 18B Seat 1,Joe Craig,,,,,NC District Court Judge District 18 Seat 1,"H. Thomas (Tom) Jarrell, Jr.",,,,,NC District Court Judge District 18 Seat 2,Jonathan G. (Jon) Kreider,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,
WILSON-20181106-Style013-SPRING_HILL-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/WILSON-20181106-Style013-SPRING_HILL-GEN.pdf,NC Superior Court Judge District 7C Seat 1,"Walter H. Godwin, Jr.",,,,,NC District Court Judge District 7 Seat 1,Pell Cooper,,,,,NC District Court Judge District 7 Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20181106-Style052-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/GUILFORD-20181106-Style052-GEN.pdf,NC District Court Judge District 18 Seat 1,"H. Thomas (Tom) Jarrell, Jr.",,,,,NC District Court Judge District 18 Seat 2,Jonathan G. (Jon) Kreider,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBESON-20181106-Style036-ORRUM-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROBESON-20181106-Style036-ORRUM-GEN.pdf,NC District Court Judge District 16B Seat 1,Brooke Locklear Clark,,,,,NC District Court Judge District 16B Seat 2,"Jack Moody, Jr.",Vanessa Burton,,,,NC District Court Judge District 16B Seat 3,Angelica Chavis McIntyre,Dale Deese,,,,,,,,,,,,,,,,,,,,,
ROBESON-20181106-Style062-SMYRNA-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROBESON-20181106-Style062-SMYRNA-GEN.pdf,NC District Court Judge District 16B Seat 1,Brooke Locklear Clark,,,,,NC District Court Judge District 16B Seat 2,"Jack Moody, Jr.",Vanessa Burton,,,,NC District Court Judge District 16B Seat 3,Angelica Chavis McIntyre,Dale Deese,,,,,,,,,,,,,,,,,,,,,
