pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,candidate11_2,office12,candidate12_1
WAKE-20161108-Style008.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAKE-20161108-Style008.pdf,NC District Court Judge District 10,V.A. (Woofer) Davidian III,,,NC District Court Judge District 10,Jefferson G. Griffin,,NC District Court Judge District 10,Dan Nagle,Walter Rand,NC District Court Judge District 10,Robert B. Rader,,NC District Court Judge District 10,Debra Sasser,,NC District Court Judge District 10,Christine M. Walczyk,,NC District Court Judge District 10,Marty E. Miller,Anna Elena Worley,NC District Court Judge District 10,Bryant Paris III,Monica M. Bousman,NC District Court Judge District 10,Jacqueline L. Brewer,,NC District Court Judge District 10,Eric Craig Chasse,,NC District Court Judge District 10,Lori G. Christian,,,
CRAVEN-20161108-Style023-VANCEBORO.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CRAVEN-20161108-Style023-VANCEBORO.pdf,NC Superior Court Judge District 3B,Robert J. McAfee,Josh Willey,,NC District Court Judge District 3B,Clinton D. Rowe,,NC District Court Judge District 3B,Karen A. Alexander,,NC District Court Judge District 3B,Peter Mack,,NC District Court Judge District 3B,W. David McFadyen III,,NC District Court Judge District 3B,Walter Mills,,NC District Court Judge District 3B,Paul M. Quinn,,,,,,,,,,,,,,,
GRANVILLE-20161108-Style021-CREEDMOOR.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/GRANVILLE-20161108-Style021-CREEDMOOR.pdf,NC District Court Judge District 9,John W. Davis,,,NC District Court Judge District 9,S. Quon Bridges,Caroline S. Burnette,NC District Court Judge District 9,Amanda Stevenson,,NC District Court Judge District 9,Carolyn J. Yancey,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN-20161108-Style013-CYPRESS_CREEK.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/FRANKLIN-20161108-Style013-CYPRESS_CREEK.pdf,NC District Court Judge District 9,John W. Davis,,,NC District Court Judge District 9,S. Quon Bridges,Caroline S. Burnette,NC District Court Judge District 9,Amanda Stevenson,,NC District Court Judge District 9,Carolyn J. Yancey,,,,,,,,,,,,,,,,,,,,,,,,
PERSON-20161108-Style010-SOUTH_WEST.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/PERSON-20161108-Style010-SOUTH_WEST.pdf,NC District Court Judge District 9A,John Hoyte (J.) Stultz III,Mike Gentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAVEN-20161108-Style028-GRANTHAM_1A.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CRAVEN-20161108-Style028-GRANTHAM_1A.pdf,NC Superior Court Judge District 3B,Robert J. McAfee,Josh Willey,,NC District Court Judge District 3B,Karen A. Alexander,,NC District Court Judge District 3B,Peter Mack,,NC District Court Judge District 3B,W. David McFadyen III,,NC District Court Judge District 3B,Walter Mills,,NC District Court Judge District 3B,Paul M. Quinn,,NC District Court Judge District 3B,Clinton D. Rowe,,,,,,,,,,,,,,,
DUPLIN-20161108-Style006.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/DUPLIN-20161108-Style006.pdf,NC District Court Judge District 4,Anita R. Powers,William (Billy) Sutton,,NC District Court Judge District 4,William M. (Mac) Cameron III,,NC District Court Judge District 4,Michael C. Surles,Nathan Sweet,NC District Court Judge District 4,Carol Jones,,NC District Court Judge District 4,"James L. (Jim) Moore, Jr.",,NC District Court Judge District 4,Henry L. Stevens IV,,,,,,,,,,,,,,,,,,
DURHAM-20161108-Style012.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/DURHAM-20161108-Style012.pdf,NC District Court Judge District 14,William A. (Drew) Marsh III,Shamieka LaCher Rhinehart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IREDELL-20161108-Style040-UNION_GROVE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/IREDELL-20161108-Style040-UNION_GROVE.pdf,NC Superior Court Judge District 22A,Joe Crosswhite,,,NC District Court Judge District 22A,Edward Lawrence Hedrick IV,,NC District Court Judge District 22A,Christine Underwood,,NC District Court Judge District 22A,Deborah Brown,,NC District Court Judge District 22A,L. Dale Graham,,,,,,,,,,,,,,,,,,,,,
STANLY-20161108-Style015-RIDENHOUR.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/STANLY-20161108-Style015-RIDENHOUR.pdf,NC Superior Court Judge District 20A,Kevin Marc Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATAWBA-20161108-Style005.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CATAWBA-20161108-Style005.pdf,NC District Court Judge District 25,Burford Alva Cherry,,,NC District Court Judge District 25,Richard S. Holloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNCOMBE-20161108-Style025.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/BUNCOMBE-20161108-Style025.pdf,NC District Court Judge District 28,Andrea F. Dray,,,NC District Court Judge District 28,J. Calvin Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURHAM-20161108-Style006.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/DURHAM-20161108-Style006.pdf,NC District Court Judge District 14,William A. (Drew) Marsh III,Shamieka LaCher Rhinehart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDOLPH-20161108-Style010-BACK_CREEK.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/RANDOLPH-20161108-Style010-BACK_CREEK.pdf,NC District Court Judge District 19B,Darren C. Allen,Don (Skipper) Creed,,NC District Court Judge District 19B,James P. (Jimmy) Hill,,NC District Court Judge District 19B,Rob Wilkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNCOMBE-20161108-Style019.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/BUNCOMBE-20161108-Style019.pdf,NC District Court Judge District 28,Andrea F. Dray,,,NC District Court Judge District 28,J. Calvin Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDOWELL-20161108-Style005-GLENWOOD.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MCDOWELL-20161108-Style005-GLENWOOD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAVEN-20161108-Style047-GLENBURNIE_PARK.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CRAVEN-20161108-Style047-GLENBURNIE_PARK.pdf,NC Superior Court Judge District 3B,Robert J. McAfee,Josh Willey,,NC District Court Judge District 3B,Clinton D. Rowe,,NC District Court Judge District 3B,Karen A. Alexander,,NC District Court Judge District 3B,Peter Mack,,NC District Court Judge District 3B,W. David McFadyen III,,NC District Court Judge District 3B,Walter Mills,,NC District Court Judge District 3B,Paul M. Quinn,,,,,,,,,,,,,,,
MECKLENBURG-20161108-Style058.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MECKLENBURG-20161108-Style058.pdf,NC District Court Judge District 26,Louis A. Trosch,,,NC District Court Judge District 26,Kimberly Best-Staton,,NC District Court Judge District 26,Tracy H. Hewett,Aretha Blake,NC District Court Judge District 26,Ron Chapman,,NC District Court Judge District 26,Jena Culler,,NC District Court Judge District 26,Karen Eady-Williams,,NC District Court Judge District 26,Ty Hands,,NC District Court Judge District 26,Gary L. Henderson,,NC District Court Judge District 26,Donnie Hoover,,NC District Court Judge District 26,Christy T. Mann,George Bell,NC District Court Judge District 26,David Strickland,Ben S. Thalheimer,NC District Court Judge District 26,Elizabeth Thornton Trosch
RANDOLPH-20161108-Style014-GRANT.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/RANDOLPH-20161108-Style014-GRANT.pdf,NC District Court Judge District 19B,Darren C. Allen,Don (Skipper) Creed,,NC District Court Judge District 19B,James P. (Jimmy) Hill,,NC District Court Judge District 19B,Rob Wilkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20161108-Style070.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MECKLENBURG-20161108-Style070.pdf,NC District Court Judge District 26,Louis A. Trosch,,,NC District Court Judge District 26,Kimberly Best-Staton,,NC District Court Judge District 26,Tracy H. Hewett,Aretha Blake,NC District Court Judge District 26,Ron Chapman,,NC District Court Judge District 26,Jena Culler,,NC District Court Judge District 26,Karen Eady-Williams,,NC District Court Judge District 26,Ty Hands,,NC District Court Judge District 26,Gary L. Henderson,,NC District Court Judge District 26,Donnie Hoover,,NC District Court Judge District 26,Christy T. Mann,George Bell,NC District Court Judge District 26,David Strickland,Ben S. Thalheimer,NC District Court Judge District 26,Elizabeth Thornton Trosch
MECKLENBURG-20161108-Style064.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MECKLENBURG-20161108-Style064.pdf,NC District Court Judge District 26,Louis A. Trosch,,,NC District Court Judge District 26,Kimberly Best-Staton,,NC District Court Judge District 26,Tracy H. Hewett,Aretha Blake,NC District Court Judge District 26,Ron Chapman,,NC District Court Judge District 26,Jena Culler,,NC District Court Judge District 26,Karen Eady-Williams,,NC District Court Judge District 26,Ty Hands,,NC District Court Judge District 26,Gary L. Henderson,,NC District Court Judge District 26,Donnie Hoover,,NC District Court Judge District 26,Christy T. Mann,George Bell,NC District Court Judge District 26,David Strickland,Ben S. Thalheimer,NC District Court Judge District 26,Elizabeth Thornton Trosch
WAYNE-20161108-Style020.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAYNE-20161108-Style020.pdf,NC Superior Court Judge District 8B,Arnold O. Jones,Will Bland,,NC District Court Judge District 8,Les Turner,,NC District Court Judge District 8,David Bernard Brantley,,NC District Court Judge District 8,Curtis Stackhouse,Annette W. Turik,NC District Court Judge District 8,Charles P. Gaylor III,,NC District Court Judge District 8,Ericka James,,,,,,,,,,,,,,,,,,
VANCE-20161108-Style001-CC.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/VANCE-20161108-Style001-CC.pdf,NC District Court Judge District 9,John W. Davis,,,NC District Court Judge District 9,S. Quon Bridges,Caroline S. Burnette,NC District Court Judge District 9,Amanda Stevenson,,NC District Court Judge District 9,Carolyn J. Yancey,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20161108-Style017.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/GUILFORD-20161108-Style017.pdf,NC District Court Judge District 18,Betty J. Brown,,,NC District Court Judge District 18,Susan R. Burch,,NC District Court Judge District 18,Avery Michelle Crump,,NC District Court Judge District 18,Michelle Fletcher,,NC District Court Judge District 18,John Stone,Angela C. Foster,NC District Court Judge District 18,Angie Fox,,NC District Court Judge District 18,Tabatha Holliday,,NC District Court Judge District 18,Randle L. Jones,Tonia A. Cutchin,NC District Court Judge District 18,Miranda Reynolds Reavis,Bill Davis,NC District Court Judge District 18,Marc Tyrey,Mark Cummings,NC District Court Judge District 18,David Sherrill,Lora Christine Cubbage,NC District Court Judge District 18,Teresa Vincent
GUILFORD-20161108-Style003.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/GUILFORD-20161108-Style003.pdf,NC District Court Judge District 18,Betty J. Brown,,,NC District Court Judge District 18,Susan R. Burch,,NC District Court Judge District 18,Avery Michelle Crump,,NC District Court Judge District 18,Michelle Fletcher,,NC District Court Judge District 18,John Stone,Angela C. Foster,NC District Court Judge District 18,Angie Fox,,NC District Court Judge District 18,Tabatha Holliday,,NC District Court Judge District 18,Randle L. Jones,Tonia A. Cutchin,NC District Court Judge District 18,Miranda Reynolds Reavis,Bill Davis,NC District Court Judge District 18,Marc Tyrey,Mark Cummings,NC District Court Judge District 18,David Sherrill,Lora Christine Cubbage,NC District Court Judge District 18,Teresa Vincent
CLEVELAND-20161108-Style010-LATTIMORE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CLEVELAND-20161108-Style010-LATTIMORE.pdf,NC Superior Court Judge District 27B,Todd Pomeroy,,,NC District Court Judge District 27B,Larry J. Wilson,,NC District Court Judge District 27B,K. Dean Black,,NC District Court Judge District 27B,Jeannette Racquel Reeves,,NC District Court Judge District 27B,Meredith A. Shuford,Justin K. Brackett,,,,,,,,,,,,,,,,,,,,
WAYNE-20161108-Style034.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAYNE-20161108-Style034.pdf,NC Superior Court Judge District 8B,Arnold O. Jones,Will Bland,,NC District Court Judge District 8,Les Turner,,NC District Court Judge District 8,David Bernard Brantley,,NC District Court Judge District 8,Curtis Stackhouse,Annette W. Turik,NC District Court Judge District 8,Charles P. Gaylor III,,NC District Court Judge District 8,Ericka James,,,,,,,,,,,,,,,,,,
ROWAN-20161108-Style029-SPENCER.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/ROWAN-20161108-Style029-SPENCER.pdf,NC District Court Judge District 19C,Marshall Bickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOKE-20161108-Style012-STONEWALL.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/HOKE-20161108-Style012-STONEWALL.pdf,NC Superior Court Judge District 16A,Richard T. Brown,,,NC Superior Court Judge District 16A,Tanya T. Wallace,,NC District Court Judge District 16A,Amanda L. (Amy) Wilson,,NC District Court Judge District 16A,Michael (Mike) Stone,Angela J. Carter,NC District Court Judge District 16A,Lisa Blue Thacker,,,,,,,,,,,,,,,,,,,,,
WAYNE-20161108-Style008.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAYNE-20161108-Style008.pdf,NC Superior Court Judge District 8B,Arnold O. Jones,Will Bland,,NC District Court Judge District 8,Les Turner,,NC District Court Judge District 8,David Bernard Brantley,,NC District Court Judge District 8,Curtis Stackhouse,Annette W. Turik,NC District Court Judge District 8,Charles P. Gaylor III,,NC District Court Judge District 8,Ericka James,,,,,,,,,,,,,,,,,,
ROCKINGHAM-20161108-Style018-WESTERN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/ROCKINGHAM-20161108-Style018-WESTERN.pdf,NC District Court Judge District 17A,James (Tony) Grogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20161108-Style008.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CUMBERLAND-20161108-Style008.pdf,NC District Court Judge District 12,Mike Hardin,Tiffany Marie Whitfield,,NC District Court Judge District 12,Lou Olivera,,NC District Court Judge District 12,Ed Pone,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20161108-Style020.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CUMBERLAND-20161108-Style020.pdf,NC District Court Judge District 12,Mike Hardin,Tiffany Marie Whitfield,,NC District Court Judge District 12,Lou Olivera,,NC District Court Judge District 12,Ed Pone,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHELL-20161108-Style001-BAKERSVILLE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MITCHELL-20161108-Style001-BAKERSVILLE.pdf,NC Superior Court Judge District 24,Greg Horne,,,NC District Court Judge District 24,Hal G. Harrison,,NC District Court Judge District 24,Ted McEntire,,NC District Court Judge District 24,Joshua J. (Josh) Teague,Rebecca (Becca) Eggers-Gryder,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20161108-Style034.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CUMBERLAND-20161108-Style034.pdf,NC District Court Judge District 12,Mike Hardin,Tiffany Marie Whitfield,,NC District Court Judge District 12,Lou Olivera,,NC District Court Judge District 12,Ed Pone,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20161108-Style035.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CUMBERLAND-20161108-Style035.pdf,NC District Court Judge District 12,Mike Hardin,Tiffany Marie Whitfield,,NC District Court Judge District 12,Lou Olivera,,NC District Court Judge District 12,Ed Pone,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY-20161108-Style024-TROY_1.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MONTGOMERY-20161108-Style024-TROY_1.pdf,NC District Court Judge District 19B,Darren C. Allen,Don (Skipper) Creed,,NC District Court Judge District 19B,James P. (Jimmy) Hill,,NC District Court Judge District 19B,Rob Wilkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20161108-Style021.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CUMBERLAND-20161108-Style021.pdf,NC District Court Judge District 12,Mike Hardin,Tiffany Marie Whitfield,,NC District Court Judge District 12,Lou Olivera,,NC District Court Judge District 12,Ed Pone,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20161108-Style009.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/CUMBERLAND-20161108-Style009.pdf,NC District Court Judge District 12,Mike Hardin,Tiffany Marie Whitfield,,NC District Court Judge District 12,Lou Olivera,,NC District Court Judge District 12,Ed Pone,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARREN-20161108-Style001-RIVER.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WARREN-20161108-Style001-RIVER.pdf,NC District Court Judge District 9B,Adam Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20161108-Style009.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAYNE-20161108-Style009.pdf,NC Superior Court Judge District 8B,Arnold O. Jones,Will Bland,,NC District Court Judge District 8,Les Turner,,NC District Court Judge District 8,David Bernard Brantley,,NC District Court Judge District 8,Curtis Stackhouse,Annette W. Turik,NC District Court Judge District 8,Charles P. Gaylor III,,NC District Court Judge District 8,Ericka James,,,,,,,,,,,,,,,,,,
MADISON-20161108-Style006-MARS_HILL.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MADISON-20161108-Style006-MARS_HILL.pdf,NC Superior Court Judge District 24,Greg Horne,,,NC District Court Judge District 24,Hal G. Harrison,,NC District Court Judge District 24,Ted McEntire,,NC District Court Judge District 24,Joshua J. (Josh) Teague,Rebecca (Becca) Eggers-Gryder,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20161108-Style002.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/GUILFORD-20161108-Style002.pdf,NC District Court Judge District 18,Betty J. Brown,,,NC District Court Judge District 18,Susan R. Burch,,NC District Court Judge District 18,Avery Michelle Crump,,NC District Court Judge District 18,Michelle Fletcher,,NC District Court Judge District 18,John Stone,Angela C. Foster,NC District Court Judge District 18,Angie Fox,,NC District Court Judge District 18,Tabatha Holliday,,NC District Court Judge District 18,Randle L. Jones,Tonia A. Cutchin,NC District Court Judge District 18,Miranda Reynolds Reavis,Bill Davis,NC District Court Judge District 18,Marc Tyrey,Mark Cummings,NC District Court Judge District 18,David Sherrill,Lora Christine Cubbage,NC District Court Judge District 18,Teresa Vincent
WAYNE-20161108-Style035.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAYNE-20161108-Style035.pdf,NC Superior Court Judge District 8B,Arnold O. Jones,Will Bland,,NC District Court Judge District 8,Les Turner,,NC District Court Judge District 8,David Bernard Brantley,,NC District Court Judge District 8,Curtis Stackhouse,Annette W. Turik,NC District Court Judge District 8,Charles P. Gaylor III,,NC District Court Judge District 8,Ericka James,,,,,,,,,,,,,,,,,,
MITCHELL-20161108-Style009-SNOW_CREEK.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/MITCHELL-20161108-Style009-SNOW_CREEK.pdf,NC Superior Court Judge District 24,Greg Horne,,,NC District Court Judge District 24,Hal G. Harrison,,NC District Court Judge District 24,Ted McEntire,,NC District Court Judge District 24,Joshua J. (Josh) Teague,Rebecca (Becca) Eggers-Gryder,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20161108-Style021.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2016-11-08/WAYNE-20161108-Style021.pdf,NC Superior Court Judge District 8B,Arnold O. Jones,Will Bland,,NC District Court Judge District 8,Les Turner,,NC District Court Judge District 8,David Bernard Brantley,,NC District Court Judge District 8,Curtis Stackhouse,Annette W. Turik,NC District Court Judge District 8,Charles P. Gaylor III,,NC District Court Judge District 8,Ericka James,,,,,,,,,,,,,,,,,,
