,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
247,buycycle,de,2016,Schwinn,Schokblaze R Elite | Shimano Deore XT,new,Crosscountry,1,,M,https://buycycle.com/de/bike/schokblaze-r-elite-163da7afec5dd4,300 ,560
248,buycycle,de,2015,Canyon,Spectral AL 8.0 EX | SRAM X01,new,Trail,1,,M,https://buycycle.com/de/bike/spectral-al-80-ex-163d5317166ed1,2000 ,3299
249,buycycle,de,2022,Radon,Jealous Hybrid 10 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/jealous-hybrid-10,3000 ,3700
250,buycycle,de,2022,Specialized,Rockhopper Comp | Microshift Advent,new,Crosscountry,1,,M,https://buycycle.com/de/bike/rockhopper-comp-1,750 ,1000
251,buycycle,de,2021,Specialized,Chisel | Shimano Deore,new,Crosscountry,1,,L,https://buycycle.com/de/bike/chisel-263d50b851c869,1200 ,1699
252,buycycle,de,2017,CUBE,TWO15 HPA Race 27.5 | Other SRAM,new,Downhill,1,,M,https://buycycle.com/de/bike/two15-hpa-race-275-1,2599 ,3699
253,buycycle,de,1998,Merida,DAKAR | Shimano Deore,new,Crosscountry,1,,M,https://buycycle.com/de/bike/dakar,220 ,800
254,buycycle,de,2022,CUBE,STEREO 120 RACE | Shimano Deore XT,new,Trail,1,,XL,https://buycycle.com/de/bike/stereo-120-race-27,1750 ,2199
255,buycycle,de,2022,Canyon,Spectral 29 CF 9 | SRAM GX Eagle AXS,new,Enduro,1,,M,https://buycycle.com/de/bike/spectral-29-cf-9-9,4800 ,5499
256,buycycle,de,2020,Giant,Reign E+ 1 Pro | Shimano Deore XT,new,Enduro,1,,M,https://buycycle.com/de/bike/reign-e-1-pro-3,3200 ,6000
257,buycycle,de,2021,Canyon,Spectral 6 | Shimano SLX,new,Enduro,1,,L,https://buycycle.com/de/bike/spectral-6-263d4e69574107,2250 ,2799
258,buycycle,de,2018,Orbea,OIZ M10 | SRAM X01 Eagle,new,Trail,1,,M,https://buycycle.com/de/bike/oiz-m10-22,2550 ,4999
259,buycycle,de,2021,Trek,X-Caliber 8 | SRAM SX Eagle,new,Crosscountry,1,,L,https://buycycle.com/de/bike/x-caliber-8-47,900 ,1199
