url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,candidate14,votes_yes14,votes_no14,candidate15,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"REINAKER, DENNIS",,,,,,,,,,,,,,,,,,"40,682","10,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),3rd Judicial District (Northampton County),"BELTRAMI, ANTHONY S",,,"ROSCIOLI, PAULA A",,,,,,,,,,,,,,,"15,254","5,282","15,621","5,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),6th Judicial District (Erie County),"CUNNINGHAM, WILLIAM RUSTY",,,"GARHART, JOHN",,,,,,,,,,,,,,,"36,674","8,246","34,576","8,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"FINLEY, JEFFREY L",,,,,,,,,,,,,,,,,,"40,666","11,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),9th Judicial District (Cumberland County),"EBERT, M L SKIP",,,,,,,,,,,,,,,,,,"30,525","7,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),16th Judicial District (Somerset County),"GEARY, D GREGORY",,,,,,,,,,,,,,,,,,"11,213","3,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"ADAMS, JOSEPH C",,,"COOK, MARIA MUSTI",,,"KENNEDY, JOHN S",,,,,,,,,,,,"32,191","11,507","31,631","12,432","33,968","10,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"YATRON, PAUL M",,,,,,,,,,,,,,,,,,"16,520","4,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),32nd Judicial District (Delaware County),"BRADELY, JAMES P",,,"NILON, JAMES F JR",,,,,,,,,,,,,,,"42,544","14,280","41,510","14,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=43&ElectionType=G&IsActive=0,2015 Municipal Election,Judge of the Court of Common Pleas (Retention),36th Judicial District (Beaver County,"KUNSELMAN, DEBORAH A",,,,,,,,,,,,,,,,,,"22,388","11,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
