url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,votes_yes14,votes_no14,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16,candidate17,votes_yes17,votes_no17,candidate18,votes_yes18,votes_no18,candidate19,votes_yes19,votes_no19
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,49th Judicial District (Centre County),"GRINE, JONATHAN",(R/D),"20,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,56th Judicial District (Carbon County),"MATIKA, JOE",(R/D),"10,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas,57th Judicial District (Bedford County),"LIVENGOOD, TRAVIS W",(REP),"7,775","ZANONI, ANTHONY J",(DEM),"5,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),1st Judicial District (Philadelphia County),"BROWN, JOAN A",,,"COHEN, DENIS P",,,"DEFINO-NASTASI, ROSE MARIE",,,"DEMPSEY, THOMAS",,,"DOUGHERTY, KEVIN M",,,"GLAZER, GARY S",,,"JACKSON, ELIZABETH",,,"LYNN, JAMES MURRAY",,,"MURPHY, MARGARET T",,,"NEW, ARNOLD L",,,"OVERTON, GEORGE W",,,"PANEPINTO, PAUL P",,,"QUINONES ALEJANDRO, NITZA I",,,"RAU, LISA M",,,"REBSTOCK, ROBERT J",,,"67,670","19,815","63,629","20,542","62,230","20,239","61,492","20,219","66,066","19,149","60,264","21,325","61,275","19,881","54,654","26,554","62,468","18,361","56,002","20,424","61,340","20,703","59,960","21,348","58,154","21,186","60,020","20,214","52,436","26,572","SMITH, GREGORY E","61,157","20,176","SNITE, ALBERT JOHN","56,625","21,729","TRENT, EARL W","58,149","20,570","WOGAN, CHRIS","58,981","20,292"
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"HOBERG, JAY J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,261","7,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),3rd Judicial District (Northampton County),"SMITH, EDWARD G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,483","5,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),4th Judicial District (Tioga County),"DALTON, ROBERT E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,875","1,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),5th Judicial District (Allegheny County),"CASHMAN, DAVID R",,,"DEANGELIS, GUIDO A",,,"DELLA VECCHIA, MICHAEL A",,,"DURKIN, KATHLEEN A",,,"TODD, RANDY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,608","46,600","128,298","51,099","137,445","46,664","138,406","44,567","129,066","49,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),6th Judicial District (Erie County),"TRUCILLA, JOHN J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,626","7,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"MELLON, ROBERT J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,901","15,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
