url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,44th Judicial District (Sullivan & Wyoming Counties),"SHURTLEFF, RUSSELL",(D/R),"6,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,45th Judicial District (Lackawanna County),"BISIGNANI MOYLE, MARGARET A",(DEM),"27,684","CASTELLANO, FRANK",(REP),"21,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,47th Judicial District (Cambria County),"KINIRY, PATRICK T",(D/R),"20,048","JUBAS, GARY",(DEM),"15,848","FLEMING, LINDA ROVDER",(REP),"16,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,48th Judicial District (McKean County),"PAVLOCK, JOHN H",(D/R),"4,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,51st Judicial District (Adams County),"RICE, KRISTIN",(DEM),"7,497","CAMPBELL, THOMAS R",(REP),"9,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,52nd Judicial District (Lebanon County),"BURKETT, LOREEN M",(DEM),"6,543","JONES, CHARLIE",(REP),"11,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,55th Judicial District (Potter County),"GLASSMIRE, DAN",(DEM),"2,042","MINOR, STEVE",(REP),"2,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas,56th Judicial District (Carbon County),"WILDONER WALBERT, CAROLE",(DEM),"5,205","SERFASS, STEVEN R",(REP),"7,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),1st Judicial District (Philadelphia County),"BYRD, SANDY L. V.",,,"CHEN, IDA",,,"DEMBE, PAMELA PRYOR",,,"GORDON, RICHARD J.",,,"HILL, GLYNNIS D.",,,"LERNER, BENJAMIN",,,"RIZZO, ANNETTE M.",,,"SHREEVES-JOHNS, KAREN",,,"WOODS-SKIPPER, SHEILA A.",,,,,,,,,,,,,,,,,,"49,851","15,922","47,110","15,421","43,984","15,139","47,924","15,355","42,923","15,880","42,902","14,774","49,025","16,144","43,444","15,471","43,105","14,895"
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"ASHWORTH, DAVID L.",,,"MADENSPACHER, JOSEPH C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,534","9,034","38,359","8,847",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),3rd Judicial District (Northampton County),"MCFADDEN, KIMBERLY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,353","5,129",,,,,,,,,,,,,,,,
