url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,candidate16,party16,votes16,candidate17,party17,votes17,candidate18,party18,votes18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas,50th Judicial District (Butler County),"KUBIT, JOE",(D/R),"26,743","VANASDALE, JEN GV GILLILAND",(IND),"15,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"BROWN, LEONARD G III",,,,,,,,,,,,,,,,,,"70,158","25,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),6th Judicial District (Erie County),"TRUCILLA, JOHN J",,,,,,,,,,,,,,,,,,"47,038","12,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"MCMASTER, JAMES M",,,"MELLON, ROBERT J",,,,,,,,,,,,,,,"101,767","60,442","96,812","65,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),8th Judicial District (Northumberland County),"SAYLOR, CHARLES H",,,,,,,,,,,,,,,,,,"11,326","3,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),9th Judicial District (Cumberland County),"PECK, CHRISTYLEE LOUISA",,,,,,,,,,,,,,,,,,"35,546","15,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),11th Judicial District (Luzerne County),"GELB, LESA S",,,"HUGHES, RICHARD M III",,,"PIERANTONI, FRED A",,,"ROGERS, JENNIFER L",,,"SKLAROSKY, JOSEPH F JR",,,"VOUGH, MICHAEL T",,,"36,008","15,135","36,031","14,675","37,695","13,772","37,188","13,535","36,315","14,392","37,993","13,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),14th Judicial District (Fayette County),"LESKINEN, STEVE",,,,,,,,,,,,,,,,,,"14,079","5,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"WHEATCRAFT, ANN MARIE",,,,,,,,,,,,,,,,,,"74,746","51,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"STRONG, ANDREA MARCECA",,,,,,,,,,,,,,,,,,"43,664","22,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
